#;Tipo;Situação;Título;Qual o tipo do produto? ;Texto da busca;Qual foi a data da coleta?;Marketplace;Fabricante;Modelo do Produto;Valor;Existe campo código SCH?;Código SCH foi fornecido?;Qual código SCH fornecido?;Código SCH é o do produto?;Código EAN foi fornecido?;Qual código EAN fornecido?;Código EAN é o do produto?;Produto do anúncio homologado?
151503;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000026;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Apple;iPhone SE;5499,00;Sim;Sim;000512201993;Sim;Não;0;Não é possível afirmar;Sim
151502;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000025;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Samsung;SM-A356E/DS;1599,00;Sim;Sim;235482300953;Sim;Não;0;Não é possível afirmar;Sim
151501;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000024;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Xiaomi;2311DRK48G | POCO X6 Pro 5G ;1989,06;Sim;Sim;217522314550;Sim;Não;0;Não é possível afirmar;Sim
151500;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000023;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Xiaomi;23129RA5FL | Redmi note 13 ;1155,00;Sim;Sim;221962314550;Sim;Não;0;Não é possível afirmar;Sim
151499;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000022;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Samsung;SM-A146MZKGZTO | Android;1780,00;Sim;Sim;171892200953;Sim;Não;0;Não é possível afirmar;Sim
151498;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000021;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Realme;RMX3760;999,99;Sim;Sim;060522313366;Sim;Não;0;Não é possível afirmar;Sim
151497;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000020;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Apple;iPhone 14 Plus;8599,00;Sim;Sim;109872201993;Sim;Não;0;Não é possível afirmar;Sim
151496;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000019;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Xiaomi;22041219PG | POCO M4 5G ;1449,99;Sim;Sim;051172214550;Sim;Não;0;Não é possível afirmar;Sim
151495;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000018;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Samsung;SM-G990EZAKZTO;2789,99;Sim;Sim;086952100953;Sim;Não;0;Não é possível afirmar;Sim
151494;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000017;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Samsung;SM-S921B/DS;4990,00;Sim;Sim;203902300953;Sim;Não;0;Não é possível afirmar;Sim
151493;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000016;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Samsung;SM-A145MLGGZTO | galaxy;1160,00;Sim;Sim;208152200953;Sim;Não;0;Não é possível afirmar;Sim
151492;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000015;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Motorola;XT2239-10 | Motorola moto E22;898,99;Sim;Sim;126752200330;Sim;Não;0;Não é possível afirmar;Sim
151491;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000014;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Samsung;SM-A057M/DS;919,00;Sim;Sim;184262300953;Sim;Não;0;Não é possível afirmar;Sim
151490;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000013;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Xiaomi;Poco X6 Pro  | N11A | Poco X6 Pro Smartphone 12+512 Yellow;2264,00;Sim;Sim;217522314550;Não;Não;0;Não é possível afirmar;Não
151489;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000012;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Xiaomi;MZB0AO2EU | Redmi Note 11;1118,99;Sim;Sim;007982209185;Sim;Não;0;Não é possível afirmar;Sim
151488;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000011;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Xiaomi;Redmi Note 12 Pro;1569,00;Sim;Sim;217592209185;Sim;Não;0;Não é possível afirmar;Sim
151487;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000010;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Samsung;SM-A156M/DSN;1459,90;Sim;Sim;198242300953;Sim;Não;0;Não é possível afirmar;Sim
151486;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000009;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Xiaomi;Redmi Note 11 | Redmi Note 11 | Redmi Note 11;848,89;Sim;Sim;007982209185;Sim;Não;0;Não é possível afirmar;Sim
151485;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000008;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Samsung;SM-A556E/DS;2069,00;Sim;Sim;235492300953;Sim;Não;0;Não é possível afirmar;Sim
151484;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000007;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Samsung;SM-S928B/DS;8406,30;Sim;Sim;206372300953;Sim;Não;0;Não é possível afirmar;Sim
151483;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000006;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Samsung;SM-A256E/DSN;1427,00;Sim;Sim;198292300953;Sim;Não;0;Não é possível afirmar;Sim
151482;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000005;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Motorola;XT2323-1;4299,00;Sim;Sim;062482300330;Sim;Não;0;Não é possível afirmar;Sim
151481;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000004;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Motorola;XT2239-16 | Motorola E22;979,90;Sim;Sim;126752200330;Sim;Não;0;Não é possível afirmar;Sim
151480;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000003;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Xiaomi;2311DRK48G | POCO X6 Pro 5G ;1960,00;Sim;Sim;217522314550;Sim;Não;0;Não é possível afirmar;Sim
151479;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000002;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Apple;iPhone 15;5599,99;Sim;Sim;127572301993;Sim;Não;0;Não é possível afirmar;Sim
151478;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000001;Celulares e Smartphones;smartphone;12/07/2024;Amazon;Samsung;SM-F936BZAJZTO;9723,17;Sim;Sim;086722200953;Sim;Não;0;Não é possível afirmar;Sim
151444;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000424;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Motorola;Motorola Moto G34 5G 128GB 8GB;979,00;Sim;Sim;203412300330;Sim;Não;0;Não;Sim
151443;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000423;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Shenzhen;S22Ultra;258,28;Não;Não;0;Não é possível afirmar;Não;0;Não é possível afirmar;Não é possível afirmar
151442;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000422;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Positivo;Positivo P26 Dual Chip 2G Tela 1.8 Celular Idoso;99,90;Sim;Sim;032801903589;Sim;Não;0;Não;Sim
151441;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000421;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi Communications Co.;Poco M4;879,00;Sim;Sim;051172214550;Sim;Não;0;Não;Sim
151440;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000420;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi Communications Co.;Note 13 / 23129RA5FL;1099,53;Sim;Sim;221962314550;Sim;Não;0;Não;Sim
151439;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000419;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi Communications Co.;Redmi Note 13 Pro 5G / 2312DRA50G;1600,00;Sim;Sim;175412314550;Sim;Não;0;Não;Sim
151438;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000418;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Realme Chongqing Mobile Telecommunications Corp.;Realme C53 / RMX3760;899,00;Sim;Sim;060522313366;Sim;Sim;0;Não;Sim
151437;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000417;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi Communications Co., Ltd.;M1903C3EH;148,00;Sim;Sim;049581909185;Sim;Não;0;Não;Sim
151436;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000416;Outros;smartphone;11/07/2024;Shopee;Não fornecido;H4;351,50;Não;Não;0;Não;Não;0;Não;Não
151435;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000415;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Shenzhen Times Technology Co., Ltd;i15promax;259,22;Sim;Não;i15promax;Não;Não;0;Não;Não
151434;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000414;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Realme Chongqing Mobile Telecommunications Corp.,;C67 (RMX3890);969,90;Sim;Sim;203362313366;Sim;Não;0;Não;Sim
151433;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000413;Celulares e Smartphones;smartphone;11/07/2024;Shopee;POSITIVO TECNOLOGIA S.A;S640 Twist 5 Pro;459,00;Sim;Sim;16041-22-03589;Sim;Não;0;Não;Sim
151432;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000412;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Motorola Ltd.;MOTO E13;609,99;Sim;Sim;18227-22-00330;Sim;Não;0;Não;Sim
151431;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000411;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Realme Chongqing Mobile Telecommunications Corp.;Note 50;699,90;Sim;Sim;004242100953;Não;Não;0;Não;Não
151430;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000410;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Apple Inc.;A2633;2738,00;Sim;Sim;112722101993;Sim;Não;0;Não;Sim
151429;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000409;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi Communications Co.;REDMI NOTE 13 256GB 8GB RAM;1199,99;Sim;Não;2312DRAABG;Não;Não;0;Não;Não
151428;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000408;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Não fornecido;A115 A11 （original）;69,65;Não;Não;0;Não;Não;0;Não;Não
151427;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000407;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi Communications Co.;redmi note 13 256gb 8gb ram;1219,10;Sim;Não;redmi note 13 256gb 8gb ram;Não;Não;0;Não;Não
151426;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000406;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Mundial;iPhone;261,20;Sim;Não;i14 Pro Max;Não;Não;0;Não;Não
151425;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000405;Celulares e Smartphones;smartphone;11/07/2024;Shopee;POSITIVO TECNOLOGIA S.A;Twist-IDOSO;400,90;Sim;Sim;15428-20-03589;Sim;Não;0;Não;Sim
151424;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000404;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi Communications Co., Ltd.;Redmi 13C / 23106RN0DA;946,00;Sim;Sim;175342314550;Sim;Não;0;Não;Sim
151423;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000403;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi Communications Co.;23100RN82L;935,00;Sim;Sim;175342314550;Sim;Não;0;Não;Sim
151422;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000402;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Digitel S/A - Ind�stria Eletr�nica;A70;670,00;Sim;Sim;046072213411;Não;Não;0;Não;Não
151421;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000401;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Doogee;Doogee;1250,00;Sim;Sim;174092204848;Não;Não;0;Não;Não
151420;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000400;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi Communications Co.;23106RN0DA;764,99;Sim;Sim;175342314550;Sim;Não;0;Não;Sim
151419;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000399;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi;2310FPCA4G;929,90;Sim;Sim;175342314550;Sim;Não;0;Não é possível afirmar;Sim
151418;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000398;Celulares e Smartphones;smartphone;11/07/2024;Shopee;0;Premium Incell&Amoled Para Xiaomi Mi 10 Lite 5G&Redmi 10X 5G Frontal Tela Display;189,60;Não;Não;0;Não;Não;0;Não;Não
151417;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000397;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Shenzhen;i15promax;261,91;Sim;Sim;i15promax;Não;Não;0;Não é possível afirmar;Não
151416;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000396;Celulares e Smartphones;smartphone;11/07/2024;Shopee; Xiaomi Communications Co.;Xiaomi Redmi 13C 256gb ou 128gb;764,99;Sim;Sim; 175342314550;Não;Não;0;Não;Não
151415;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000395;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Samsung;Galaxy m34 5g;1199,00;Sim;Sim;095832300953;Sim;Não;0;Não é possível afirmar;Sim
151414;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000394;Celulares e Smartphones;smartphone;11/07/2024;Shopee;MULTILASER INDUSTRIAL LTDA.;Smartphone Multilaser E Pro 4G 32GB Wi-Fi 5.0 pol. Dual Chip 1GB RAM Câmera 5MP;224,90;Sim;Sim;04744-21-03111;Sim;Não;0;Não;Sim
151413;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000393;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi;Redmi 12 5G Dual SIM de 128G/4GB ;909,90;Sim;Sim;22111317G;Sim;Não;0;Não é possível afirmar;Sim
151412;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000392;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Tecnologia Digital Shenzhen Co., Ltd.;i14 Pro Max 128/256/512GB 1TB ROM 6GB RAM Dual eSIM 6.7;260,00;Sim;Sim; i14proMax;Não;Não;0;Não;Não
151411;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000391;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Shenzhen;i15promax;261,57;Sim;Sim; i15 Pro;Não;Não;0;Não;Não
151410;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000390;Celulares e Smartphones;smartphone;11/07/2024;Shopee; Xiaomi Communications Co.;Xiaomi Redmi 13c 4/128gb Super Lançamento 2023 ;778,00;Sim;Sim;175342314550;Sim;Não;0;Não;Sim
151409;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000389;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Shenzhen;i11;261,69;Sim;Sim;i11;Não;Não;0;Não;Não
151408;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000388;Celulares e Smartphones;smartphone;11/07/2024;Shopee; HREBOS;Capa transparente capinha TPU Anti Shock Impacto Samsung Galaxy S22 S;9,98;Não;Não;0;Não;Não;0;Não;Não
151407;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000387;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi;23106RN0DA;946,00;Sim;Sim;175342314550;Sim;Não;0;Não é possível afirmar;Sim
151406;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000386;Celulares e Smartphones;smartphone;11/07/2024;Shopee; Xiaomi Communications Co.;CELULAR xiaomi redmi note 13 GLOBAL 6de RAM + CAPINHA4G lançamento 2024;1089,50;Sim;Sim;2312DRAABG;Não;Não;0;Não;Não
151405;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000385;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Realme;RMX3830;799,90;Sim;Sim;065732313366;Não é possível afirmar;Não;0;Não é possível afirmar;Não
151404;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000384;Celulares e Smartphones;smartphone;11/07/2024;Shopee; Xiaomi Communications Co.;Celular Xiaomi Smartphone Redmi Note 13 256GB 8RAM 4G ;1215,53;Sim;Sim;221962314550;Sim;Não;0;Não;Sim
151403;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000383;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Motorola;Moto G51;915,00;Sim;Sim;174092200330;Não;Não;0;Não é possível afirmar;Não
151402;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000382;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Apple;Apple i15 Pro 256GB/128GB ROM;261,91;Sim;Sim;i15promax;Não;Não;0;Não;Não
151401;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000381;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi;redmin 6;409,00;Sim;Sim;6941059610403;Não é possível afirmar;Não;0;Não é possível afirmar;Não é possível afirmar
151400;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000380;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi Communications Co.;Celular Xiaomi POCO X6 Pro 5G 512GB / 256GB Dual Sim 12GB / 8GB Ram ;1998,99;Sim;Sim;217522314550;Sim;Não;0;Não;Sim
151399;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000379;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi;Redmi 12 256GB 8RAM 4G Versão Global;989,53;Sim;Sim;005372209185;Não é possível afirmar;Não;0;Não é possível afirmar;Sim
151398;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000378;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Realme Chongqing Mobile Telecommunications Corp.;Realme Note 50 Dual Sim 256 Gb 4 Gb Ram Smartphone;699,00;Sim;Sim;002722413366;Sim;Não;0;Não;Sim
151397;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000377;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi;Redmi A3;594,99;Sim;Sim;237932314550;Sim;Não;0;Não é possível afirmar;Sim
151396;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000376;Celulares e Smartphones;smartphone;11/07/2024;Shopee; Multilaser;Smartphone Multilaser E Pro 4G 32GB Wi-Fi 5.0 pol. Dual Chip 1GB RAM Câmera 5MP + 5MP ;229,90;Sim;Sim;047442103111;Sim;Não;0;Não;Sim
151395;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000375;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Realme;RMX3760;865,90;Sim;Sim;060522313366;Não é possível afirmar;Não;0;Não é possível afirmar;Não
151394;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000374;Outros;smartphone;11/07/2024;Shopee;Retro Emulators;R43 Pro + Acessórios + Cartão 64gb;499,90;Sim;Não;0;Não;Não;0;Não;Não
151393;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000373;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi;Xiaomi Poco C65;899,00;Sim;Sim;217622209185;Não é possível afirmar;Não;0;Não é possível afirmar;Sim
151392;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000372;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi Communications Co.;Celular Smartphone Xiaomi Poco C65 256GB 8RAM ;750,00;Sim;Sim;175342314550;Sim;Não;0;Não;Sim
151391;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000371;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Realme;RMX3840;2779,00;Sim;Sim;206152313366;Não;Não;0;Não é possível afirmar;Não
151390;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000370;Celulares e Smartphones;smartphone;11/07/2024;Shopee;POSITIVO TECNOLOGIA S.A;Smartphone Infinix Hot 40i 8GB RAM 256GB Câmera Dupla 50MP ;1099,00;Sim;Sim;031332415156;Sim;Não;0;Não;Sim
151389;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000369;Celulares e Smartphones;smartphone;11/07/2024;Shopee;POSITIVO;Note10;234,90;Sim;Sim;124422103589;Sim;Não;0;Não é possível afirmar;Não
151388;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000368;Celulares e Smartphones;smartphone;11/07/2024;Shopee;MULTILASER INDUSTRIAL LTDA;Smartphone Multi E Pro 4G 32GB 1GB RAM ;229,90;Sim;Sim;047442103111;Sim;Não;0;Não;Sim
151387;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000367;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Motorola;G24;814,90;Sim;Sim;206672300330;Sim;Não;0;Não é possível afirmar;Sim
151386;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000366;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi Communications Co.;Xiaomi Redmi Note 13 256GB/8GB Versão Global;1189,00;Sim;Sim;123456789123;Não;Não;0;Não;Não
151385;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000365;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Samsung;A15 5G 128GB;899,90;Sim;Sim;198242300953;Sim;Não;0;Não é possível afirmar;Sim
151384;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000364;Outros;smartphone;11/07/2024;Shopee;Guangdong OPPO Mobile Telecommunications Co., Ltd;OPPOA33 4GB + 64GB Usou Versão Global Do smartphone;159,00;Sim;Sim;084862214862;Sim;Não;0;Não;Sim
151383;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000363;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi;23100RN82L;935,00;Sim;Sim;175342314550;Sim;Não;0;Não é possível afirmar;Sim
151382;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000362;Celulares e Smartphones;smartphone;11/07/2024;Shopee;MULTILASER INDUSTRIAL LTDA;Celular Smartphone i14 5,5 Polegadas 8GB 256GB 5G ;239,99;Sim;Sim;042801903111;Sim;Não;0;Não;Sim
151381;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000361;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Xiaomi;Redmi Note 8 Dual SIM ;638,00;Sim;Sim;071971909185;Sim;Não;0;Não é possível afirmar;Não
151380;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000360;Celulares e Smartphones;smartphone;11/07/2024;Shopee;Realme Chongqing Mobile Telecommunications Corp.,;Realme C67 256GB 8RAM 4G NFC e 128GB 6RAM;969,90;Sim;Sim;203362313366;Não;Não;0;Não;Não
151379;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000359;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Samsung;Galaxy S22;1784,25;Sim;Sim;162172100953;Sim;Não;0;Não é possível afirmar;Sim
151378;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000358;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Motorola;20 Lite Dual SIM;1099,00;Sim;Sim;086862100330;Sim;Não;0;Não é possível afirmar;Sim
151377;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000357;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Multilaser;F;305,00;Sim;Sim;042811903111;Sim;Não;0;Não é possível afirmar;Sim
151376;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000356;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Samsung;A11 Dual SIM;889,00;Sim;Sim;000972000953;Sim;Não;0;Não é possível afirmar;Sim
151375;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000355;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Positivo;Twist 4 Fit (S514);300,20;Sim;Sim;154282003589;Sim;Não;0;Não é possível afirmar;Sim
151374;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000354;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Samsung;S24;4049,10;Sim;Sim;203902300953;Sim;Não;0;Não é possível afirmar;Sim
151373;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000353;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Samsung;Galaxy J5;80,00;Sim;Sim;017161500953;Sim;Não;0;Não é possível afirmar;Sim
151372;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000352;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Xiaomi;7;684,00;Sim;Sim;021171909185;Sim;Não;0;Não é possível afirmar;Sim
151371;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000351;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Xiaomi;Redmi 13C;999,00;Sim;Sim;175342314550;Sim;Não;0;Não é possível afirmar;Sim
151370;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000350;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Samsung;Ace 4 Lite Duos 02 chips;354,90;Sim;Sim;018491400953;Sim;Não;0;Não é possível afirmar;Sim
151369;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000349;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Samsung;Galaxy M53 5G;-1,00;Sim;Sim;030722200953;Sim;Não;0;Não é possível afirmar;Sim
151368;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000348;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Xiaomi;Poco X6 5G, Celular, Smartphone, Xiaomi, Poco, Pocophone, Poco X6, X6;1999,00;Sim;Sim;175412314550;Sim;Não;0;Não é possível afirmar;Sim
151367;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000347;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;LG;K9 TV;319,00;Sim;Sim;000401801003;Sim;Não;0;Não é possível afirmar;Sim
151366;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000346;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Samsung;J6+ Duos;584,10;Sim;Sim;055631800953;Sim;Não;0;Não é possível afirmar;Sim
151365;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000345;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Samsung;Galaxy Note10;1169,10;Sim;Sim;047651900953;Sim;Não;0;Não é possível afirmar;Sim
151364;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000344;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Motorola;G54 Dual SIM;1497,99;Sim;Sim;117032300330;Sim;Não;0;Não é possível afirmar;Sim
151363;Fiscalização de Marketplace;Concluída;INSP_PACP_20240711_000343;Celulares e Smartphones;smartphone;11/07/2024;Mercado Livre;Xiaomi;12 Lite 5G;1716,00;Sim;Sim;061792209185;Sim;Não;0;Não é possível afirmar;Sim
